,Ticker,Tweets,Time
29,AMZN,"@mrsjones72812 Our box tower is getting so big that we pretend we're King Kong climbing the Empire State Building. Needless to say, it's getting a little out of hand. 😂 🐒🏙️",2021-04-20 18:59:19
30,AMZN,"@Toya610_ 🐐 We've GOAT your back when it comes to deliveries! 📦 Sorry about the pun, we know it was pretty BAAAAAAAAAAAD. 😂 🐐",2021-04-20 15:23:49
31,AMZN,@EmZup513 Thank you for submitting your de-tails so quickly! 🐶 Be on the lookout for a couple surprises arriving soon! 😛 🚚 💨 📦,2021-04-20 14:24:29
32,AMZN,@AnupWarrier This is what we love to hear! 🥰 Thanks for the shout-out!,2021-04-20 13:12:53
33,AMZN,@Sparklett21 LOVE IT! An absolutely purrfect delivery photo! 🤣 🤣 🐈 📦,2021-04-20 10:08:01
34,AMZN,"@Freedom87523429 As informed earlier, once return window period has been expired, we'll not be able to help you further. Thanks for understanding.

- Navya",2021-04-20 03:26:31
35,AMZN,"@EmZup513 Princess Jasmine deserves all the belly rubs and ear scratches! 👑 🐕 ❤️ We'd love to send your sweet little furball a tail wagging surprise! 😊 🎁 If you're interested, paw-lease provide your details here: https://t.co/ldDXTtqLWC. 🐾",2021-04-20 00:56:33
36,AMZN,"@gerardoangulo El reembolso ya fue realizado es decir, ya fue emitido a tu método de pago. ¿Qué plataforma usaste Amazon .com, Amazon .com.mx u otra?
-Sam",2021-04-20 00:45:00
37,AMZN,"@EmZup513 We LOVE Jasmine! 😍💜 When Jasmine isn't being a good girl and patiently waiting for a delivery, 🐕 📦 🚚 what else does this paw-fect little pupper enjoy doing? ⚾ 💤 🦴 🌳",2021-04-20 00:01:36
38,AMZN,@OwaJohnny Thank you so much for the kind words! 🥺 ❤️ We're thrilled to hear that we've helped make life a little easier for you. We appreciate the shout-out!,2021-04-19 23:13:22
39,AMZN,@c_Notess We think YOU are the best! 💯 Thanks for the shout-out! 😎,2021-04-19 23:02:16
40,AMZN,"@ghettogospeII Thanks for asking! We'd be happy to investigate this with you directly. At your earliest convenience, please get in touch with us here: https://t.co/YyJL5tm1TP. As we can't access account or order details via Twitter, this will allow us to best assist! -Ana",2021-04-19 20:18:47
41,AMZN,@haleyrdaniel You're so welcome! 😀 🍓,2021-04-19 19:23:45
42,AMZN,@goosenapper We're happy we could help add some excitement to your day! 😊 👍,2021-04-19 19:23:45
43,AMZN,"@jo_mcglothlin We'd get along great with these doggos! 💯 Those are, without a doubt, some of our favorite activities! 😂 If you don't mind sharing, what are the names of your lovely fur babies? 🐕 ❤️",2021-04-19 18:57:32
44,AMZN,@shut_up_Rach We're happy to hear that you're sat-hiss-fied with your purr-chase! 😂 🐈 📦 🐾,2021-04-19 18:57:19
45,AMZN,"@BlueForState You won't have to jump over hurdles to find a stopwatch anytime soon...looks like you're all ready, set, go! 😁 ⏱️ 🏃‍♂️",2021-04-19 18:56:03
46,AMZN,"@_NayyyJ_ We can hardly contain our excitement! 🤗 📦 Does this package happen to contain items for the wedding?  🤔 💭 We see someone's getting married! Welcome to the ""I DO CREW""!🔔⛪🕊️💍❤️",2021-04-19 18:54:33
47,AMZN,"@DivaNamedDom As the old saying goes, the early bird gets the... Amazon Fresh order? 😂 🛒 🐦 🐛 Thanks for the shout-out!",2021-04-19 18:53:50
48,AMZN,"@udnetne Alexa, play ""Here Comes the Bride"". 💒 🕊️ 💍 👰 Congratulations on your engagement! We'd love to send a surprise your way for the big day! 😀 ❤️ If you're interested, please send us your details here: https://t.co/pOTzCmm5GW. 🚚 💨 📦",2021-04-19 18:53:33
49,AMZN,@Radiant_Silk Now that's what we call self care! 😌 ✨ 🐆 🍜 🍿 🎬,2021-04-19 01:59:14
50,AMZN,"@jo_mcglothlin Hiking sounds like a tail wagging adventure! 🐕 🐾 🌳 ⛰️ Tell us, when your four-legged friends aren't being avid back-paw-ckers, 🎒 what are some of their favorite pastimes?  ⚾ 🦴 💤 ❤️",2021-04-19 01:58:35
