,Ticker,Tweets,Time
84,DIS,RT @WaltDisneyCo: Congratulations to Disney’s NAACP Image Awards Winners. Titles from across The Walt Disney Company combined for 17 awards…,2021-03-29 20:04:23
85,DIS,"#WomensHistoryMonth celebrations soar higher, further, faster with the women of @MarvelStudios. https://t.co/ZNP3MogJML",2021-03-29 17:00:03
86,DIS,"RT @starwars: Production begins soon on Obi-Wan Kenobi, a special event series coming to #DisneyPlus. https://t.co/9z49eW9Vgx",2021-03-29 14:01:23
87,DIS,"""Everybody in the world expects me to be something and I don't want to fail them."" Meet John Walker in the latest episode of Marvel Studios' The Falcon and The Winter Soldier, now streaming on @DisneyPlus. #FalconAndWinterSoldier https://t.co/fsyGd53PQJ",2021-03-28 17:00:04
88,DIS,Say cheese! Who’s your favorite Disney mouse? 🐭 https://t.co/akBKZiLfDi,2021-03-28 17:00:01
89,DIS,Springtime calls for bouncing all the time! https://t.co/HrnjAvwcw6,2021-03-28 16:00:05
90,DIS,"RT @DisneyD23: NEW: @dannypudi on the future of DuckTales, the hardest secret to keep, and being traumatized by a squirrel: https://t.co/OA…",2021-03-28 02:23:48
91,DIS,"Here’s to a swinging spring! See more Disney NuiMOs at @shopDisney, Disney stores, and select Disney Parks around the world. https://t.co/5V793KX86h",2021-03-27 21:59:50
92,DIS,Relax and recharge with Minnie as she shares her self-care routine in this episode of #PositivelyMinnie! https://t.co/WAbklXiH9W,2021-03-27 19:00:00
93,DIS,"Meet the new generation of game changers. Start streaming the brand-new Original Series, #TheMightyDucksGameChangers, now on #DisneyPlus. https://t.co/jLZo5JqcnS",2021-03-27 18:00:00
94,DIS,And here’s Tuk Tuk in his final film design! Raya and the Last Dragon is now in theaters and on #DisneyPlus with Premier Access. #DisneyRaya https://t.co/SmBBEL4dFL,2021-03-27 17:00:11
95,DIS,Tuk Tuk is a loyal sidekick for the ages! See how he evolved in this concept art from Raya and the Last Dragon. https://t.co/OsiHGJaVFN,2021-03-27 17:00:09
96,DIS,Together again 💥 Episode two of @MarvelStudios' The Falcon and The Winter Soldier is now streaming on @DisneyPlus. #FalconAndWinterSoldier https://t.co/cUaWd53QzS,2021-03-27 16:00:01
97,DIS,Together again 💥 Episode two of @MarvelStudios' The Falcon and The Winter Soldier is now streaming on @DisneyPlus. #FalconAndWinterSoldier https://t.co/LVzBW0KkIC,2021-03-26 13:00:02
98,DIS,Feel the music! Experience the #VirtualJazzConcert presented by #PixarSoul now on Digital &amp; Blu-ray. Featuring exclusive performances by Jon Batiste and the best HBCU bands in the nation. See the full concert now at https://t.co/ewOaZh3W4Y https://t.co/Maz6GuTZbh,2021-03-26 00:35:00
99,DIS,Go beyond the legacy of the shield and check out this brand-new featurette from Marvel Studios' The Falcon and the Winter Soldier ⭐ Episode one now streaming on @DisneyPlus. #FalconAndWinterSoldier https://t.co/0ZqNM0dfLG,2021-03-25 23:00:01
100,DIS,Kelly Marie Tran and Director Carlos López Estrada surprised guests at the El Capitan Theatre for the #DisneyRaya opening event in Hollywood! https://t.co/NcMC3sZMA2,2021-03-25 18:59:56
101,DIS,You ain’t never had a mentor like them! https://t.co/Z5F1jZoCsl,2021-03-25 15:59:53
102,DIS,"In honor of Deaf History Month, learn to sign “Hello!” in American Sign Language with the handy help of Mickey. https://t.co/xKaI8WD2t6",2021-03-24 19:00:11
103,DIS,https://t.co/d8GUwG0Pb9,2021-03-24 17:00:13
104,DIS,"A Wanda-ful Vision of growth! 

@MarvelStudios’ #WandaVision, Avengers: Age of Ultron, Captain Marvel, Ant-Man and The Wasp, and Thor are streaming on #DisneyPlus. https://t.co/9dd7jj5ipz",2021-03-24 17:00:06
105,DIS,A new season calls for new looks! 🌻 https://t.co/XDMEFvD49e,2021-03-24 16:00:11
